,Unnamed: 0,id,author_id,text,created_at,neg,neu,pos,score
0,0,1387517192246370314,57492963,"@BBVAProvincial Hola hoy lleve a mi padre a aperturar cuenta para ayuda española, entregaron tdd. Intente el registro Provinet, no pude, al poner C.I. da mensaje de datos incompletos, celular y correo, la chica q nos atendió dijo que esta todo registrado, se reciben sms en el numero registrado.",2021-04-28T21:20:52.000Z,0.07611905783414841,0.9194995164871216,0.004381427075713873,neu
1,1,1387507866253336579,949289289380237313,"@BBVAProvincial A mi esposo le pusieron que no puede hacer transferencias por que esta fuera del pais, cuando eso es falso, estamos en Venezuela. Que recaudos necesito para desbloquear su insistencia en bloquearnos la cuenta bancaria.",2021-04-28T20:43:48.000Z,0.9952651262283325,0.003309657797217369,0.001425148919224739,neg
2,2,1387498798365220867,112563539,@BBVAProvincial Acabo de hacer un pago móvil y no ha llegado,2021-04-28T20:07:46.000Z,0.8413883447647095,0.15504510700702667,0.003566495142877102,neg
3,3,1387497827291566080,2262348084,@BBVAProvincial Buenas tardes yo puedo cambiar el número que tengo afiliado por la página !!!!,2021-04-28T20:03:55.000Z,0.00718717509880662,0.9763220548629761,0.016490666195750237,neu
4,4,1387495264831868934,459179956,@BBVAProvincial Buenas tardes no puedo desbloquear mi tarjeta de débito. Llamo y no me llega el código a tiempo fui a una agencia y no estaban atendiendo al público que me recomienda hacer ???,2021-04-28T19:53:44.000Z,0.9959520101547241,0.0029886311385780573,0.0010594388004392385,neg
5,5,1387491695919607808,2528619240,"@BBVAProvincial Buenas tardes, si deseo cambiar el número de teléfono que tenía registrado en el banco, a qué agencia me dirijo?",2021-04-28T19:39:33.000Z,0.03784707933664322,0.9564735889434814,0.005679394584149122,neu
6,6,1387475647161843713,436308910,@BBVAProvincial Buenas tardes. Hace dos días hice un pago móvil y nunca cayó a la cuenta de la persona. Envíe un correo al banco con el reclamo y nada que me contestan.,2021-04-28T18:35:46.000Z,0.9304798245429993,0.06661629676818848,0.0029038474895060062,neg
7,7,1387472960877965320,116074046,"@BBVAProvincial Buenas tardes necesito anular una transferencia, en mi cuenta está como diferida. Cómo realizó el proceso? Auxilioooooooo!",2021-04-28T18:25:06.000Z,0.03829430416226387,0.9546792507171631,0.007026461884379387,neu
8,8,1387456061192409091,1354182714673549312,"@BBVAProvincial Buenas tardes estimados.
Mantengo una cuenta corriente con ustedes y quisiera saber
Cual es el procedimiento para hacer el cambio de correo electrónico desde el extranjero y poder desbloquear la clave para el uso de Provinet en Linea.
Muchas Gracias de antemano.",2021-04-28T17:17:57.000Z,0.005922907497733831,0.9712220430374146,0.02285509556531906,neu
9,9,1387455744816123904,625315371,"@BBVAProvincial Necesito solución a un inconveniente que presento con mi cuenta, fui el día de ayer 27/04/2021 a la Oficina Principal a realizar una actualización de datos y modificar mi numero telf y la información aun CONTINUA ERRADA... Y no puedo volver a ir a la agencia de nuevo",2021-04-28T17:16:41.000Z,0.9952325224876404,0.0036899324040859938,0.0010774434776976705,neg
