,Unnamed: 0,text,created_at,author_id,id,neg,neu,pos,score
0,0,Que maravilla @Banesco con su verificación biométrica.,2021-04-28T22:00:42.000Z,107166989,1387527218939695107,0.7029479742050171,0.2569705843925476,0.04008150100708008,neg
1,1,Ya pasó el pago!!! @salaprensaCantv @Banesco,2021-04-28T21:41:37.000Z,1105692242025635840,1387522414301663237,0.013199743814766407,0.8486470580101013,0.13815322518348694,neu
2,2,"@Banesco Buenas tardes soy de San Carlos Cojedes preaperture una cuenta corriente en el año 2018 y no he podido formalizarla y la plataforma del banco dice que soy cliente, pero en la agencia no me dan respuesta. Que debo hacer.",2021-04-28T21:34:33.000Z,400459973,1387520637225390080,0.8613426089286804,0.13483455777168274,0.0038227566983550787,neg
3,3,Pésimo servicio presta la entidad Bancaria @Banesco en Puerto Ayacucho. Los usuarios en su mayoría adultos mayores pasan ente 1 y 2 horas y media en una cola para realizar cualquier operación en los cajeros automáticos que por cierto son sólo 2 para todo el estado #Amazonas. https://t.co/XA1gT1CTXP,2021-04-28T19:55:42.000Z,558941854,1387495762104397829,0.9955761432647705,0.0029393003787845373,0.0014846260892227292,neg
4,4,@Banesco @Johnnelog Nada que extrañarse. A mí hace más de un mes me tienen de burla. Me mandaron al banco en medio de la pandemia y lo peor sigo sin tener mi dinero.,2021-04-28T19:45:25.000Z,1374752742787407874,1387493171106549766,0.9969663023948669,0.0018137430306524038,0.001220030477270484,neg
5,5,@Banesco hace más de 1 mes recibí una transferencia. Banesco me a pedido documentos e ir al banco. Lo e echo todo y aún no transferencia no se acredita. Me parece un abuso. Y los correos los respondes cuando quieren.,2021-04-28T19:43:28.000Z,1374752742787407874,1387492682512150528,0.9957500696182251,0.002553445752710104,0.0016965009272098541,neg
6,6,"@Banesco de lo peor...me bloquean la clave, la cuenta, me dicen que llame a mil teléfonos, llamo y me bloquean la clave telefónica y me mandan a una agencia en pandemia... a que juegan?",2021-04-28T18:24:36.000Z,52961100,1387472835745046531,0.9970410466194153,0.0016159112565219402,0.0013430798426270485,neg
7,7,"@Banesco siendo @Banesco.

Me eliminan el usuario por sospecha de fraude (me querían hackear la cuenta) y ahora tengo que esperar que me dejen crear otro cuando les dé la gana.",2021-04-28T18:12:14.000Z,1348682318005882886,1387469722661408771,0.996925413608551,0.001959633780643344,0.0011150003410875797,neg
8,8,"@Banesco Estoy a la espera de que reciban mi PDV, salieron almorzar a las 11am son las 2pm y aun no regresan, aparte q lo he traído 2 veces y aun continua con las fallas, esos PDV Inalámbrico son una porquería. #ciudadbanesco",2021-04-28T18:11:30.000Z,99362761,1387469538711769094,0.7114694714546204,0.28355151414871216,0.004979007411748171,neg
9,9,@LaLibertadCo @Banesco,2021-04-28T18:11:02.000Z,2245845157,1387469420767891459,0.012902604416012764,0.9308961033821106,0.05620130896568298,neu
10,10,@Banesco señores bloquearon mi cuenta mi clave no me dejan cambiar no me contestan el teléfono.. necesito pagar mis servicios que hsgo?...,2021-04-28T17:58:27.000Z,52961100,1387466255259611144,0.9964608550071716,0.002443045610561967,0.0010961011284962296,neg
11,11,@Banesco ya realice el reclamo sobre la app de banesco movil mas de una semana con este problema hasta cuando va ser esto @NicolasMaduro @SudebanInforma https://t.co/WyqWq4jEFQ,2021-04-28T17:48:18.000Z,141312103,1387463700135677953,0.9912039041519165,0.007724245544523001,0.0010718939593061805,neg
12,12,@MelisaRauseo @fundafarmacia @fundatiacruz @nelsonbocaranda @AliasMalula @aroliveros @LuisOlavarrieta @laureanomar @milmanrique @carmeLaLongo @NituPerez @Banesco https://t.co/Jzt8DKToJd,2021-04-28T17:41:58.000Z,158554600,1387462104580567040,0.03177221491932869,0.7486162781715393,0.21961148083209991,neu
13,13,@Banesco Bu más tardes. Hice la solicitud hace 20 días y todavía está en proceso.,2021-04-28T17:08:38.000Z,245000301,1387453719109853184,0.0034531261771917343,0.9751240611076355,0.02142275683581829,neu
14,14,"Hola @Banesco, les envié un correo y me ignoraron. ¿Me pueden decir como hago para descargar la nueva app si tengo iOS y mi tienda no es la de Venezuela?",2021-04-28T16:34:47.000Z,828301502552952836,1387445197273976839,0.9937002658843994,0.005243768449872732,0.0010559775400906801,neg
15,15,@Banesco es increíble el maltrato para con los clientes. La agencia ubicada en el hotel Hesperia en valencia solo tiene a 1 persona en atención al cliente. Son unos desgraciados.,2021-04-28T16:22:56.000Z,52495320,1387442216004620295,0.99659663438797,0.001648002304136753,0.0017553461948409677,neg
16,16,@Banesco Necesito respuesta tengo los estados de cuenta del banco al q se hizo el pago movil el cual nunca cayo,2021-04-28T16:07:32.000Z,144278006,1387438340312555520,0.019235780462622643,0.9767150282859802,0.00404916238039732,neu
17,17,@Banesco ya les respondí favor hagan seguimiento lo de los intereses por sobregiro no es nuevo ya paso,2021-04-28T16:03:48.000Z,36768555,1387437399370878978,0.005149459466338158,0.9869816899299622,0.007868814282119274,neu
18,18,@Banesco les he escrito hasta al cansancio por mensaje directo y sin respuesta sres. banesco necesito respuesta a mi solicitud,2021-04-28T15:43:14.000Z,36768555,1387432224975474691,0.9957411289215088,0.0031767257023602724,0.0010821893811225891,neg
19,19,@Banesco buenas día tengo varios meses colocando una consulta/reclamo y sigo sin respuesta!!!!!,2021-04-28T15:41:45.000Z,36768555,1387431852248649729,0.9951034784317017,0.0033912172075361013,0.001505245454609394,neg
20,20,@Banesco que sucede con su pago de servicios me debitaron el dinero y sigue la deuda,2021-04-28T15:29:36.000Z,121553841,1387428794684821506,0.9959017634391785,0.0031499145552515984,0.0009483825415372849,neg
21,21,Muy bonitos los correos pero prefiero plata @MercantilBanco @Banesco,2021-04-28T15:06:58.000Z,764384734550102016,1387423099168120832,0.008661346510052681,0.5257391929626465,0.4655994772911072,neu
22,22,"Y den un buen servicio no es justo que una agencia tan grande, halla una asesora para atenderlos a todos @Banesco vista alegre",2021-04-28T14:33:24.000Z,1339552012845916161,1387414652020314116,0.0438411608338356,0.19117754697799683,0.7649812698364258,pos
23,23,"Señores @Banesco  nuestro tiempo vale, con servicio a paso de morrocoy, contraten mas personal para que fluyan las cosas en el horario",2021-04-28T14:31:49.000Z,1339552012845916161,1387414253901074436,0.06272701174020767,0.8515831232070923,0.08568990230560303,neu
